Class,Sensitivity,Specificity,PPV,NPV,F1-Score,TP,TN,FP,FN,ROC-AUC
COVID,0.6697416974169742,0.8366881883782757,0.45775535939470363,0.9248530646515534,0.5438202247191011,363,2203,430,179,0.849616281008993
Lung_Opacity,0.8946784922394678,0.8147822261328641,0.6571661237785016,0.9512069851052902,0.7577464788732393,807,1852,421,95,0.9327719698026482
Normal,0.5415304120340092,0.9526123936816525,0.9139072847682119,0.6910533274570295,0.680082135523614,828,1568,78,701,0.9099491642740155
Viral Pneumonia,0.9108910891089109,0.9784729229734275,0.7419354838709677,0.9938503587290741,0.8177777777777777,184,2909,64,18,0.9935983255237735
